Course Title,Course ID,Capacity,Course Instructors,Category,Offering Type
Organizational Psychology,PSY207_Fall2022_S01,40,Lan Thi Nguyen,E2,On-campus
Counseling Psychology,PSY302_Fall2022_S01,30,Hoàng Minh T_ Nga,E2,On-campus
Fall 2022 Seminar,SEM301_Fall2022_S01,30,Faculty & Visiting Faculty,SEM,On-campus
Social Inquiry And the Social Sciences,SOCI102_Fall2022_S01,50,Ian Kalman,E2,On-campus
Research Methods & Statistics,SOCI105_Fall2022_S01,50,Vu Bich Phuong,E2 E3 E4,On-campus
Ethnographic Research Methods,SOCI109_Fall2022_S01,50,Tram Luong,E2,On-campus
Introduction to Science and Technology Studies,SOCI211_Fall2022_S01,40,Tobias Burgers,E2,On-campus
South Korea: Society and Culture,SOCI212_Fall2022_S01,40,Nankyung Choi,E2,Online
Women and Politics,SOCI213_Fall2022_S01,40,Nankyung Choi,C2,Online
Cultural and Intellectual Foundation of Vietnamese Literary Chinese I,VS106_Fall2022_S01,50,Phan Thu Van,E1 E2,On-campus
Introduction to Champa and Khmer History,VS114_Fall2022_S01,50,Nicolas Weber,E1 E2,On-campus
The Challenge of Change: Civil Society and Social Movements in Vietnam,VS203_Fall2022_S01,40,Nguyen Thanh Trung,E1 E2,On-campus
The Legacy of the War in Retrospect I,VS204_Fall2022_S01,20,Nguyen Nam,E1 E2,On-campus
What Movies Show and Don't Show: Film Adaptations in Asian Contexts,VS210_Fall2022_S01,40,Dao Le Na,E2,On-campus
Developing Vietnam,VS214_Fall2022_S01,25,Nguyen Nam,E1 E2,On-campus
Contending Theories of International Relations: A Comprehensive View of Vietnam and the World,VS215_Fall2022_S01,30,Nguyen Thanh Trung,E1 E2,On-campus
Sources for Vietnamese and Southeast Asian History,VS303_Fall2022_S01,30,Nicolas Weber,C1 C2,On-campus
